1339760
font: 34039 	P(word|spam): 0.025407 	P(spam|word): 0.997671
buyers: 35 	P(word|spam): 0.000026 	P(spam|word): 0.987119
184: 35 	P(word|spam): 0.000026 	P(spam|word): 0.836304
homeowner: 35 	P(word|spam): 0.000026 	P(spam|word): 0.900000
wdm: 35 	P(word|spam): 0.000026 	P(spam|word): 0.900000
jennifer: 35 	P(word|spam): 0.000026 	P(spam|word): 0.974565
outside: 35 	P(word|spam): 0.000026 	P(spam|word): 0.657044
1700: 35 	P(word|spam): 0.000026 	P(spam|word): 0.827275
subscribers: 35 	P(word|spam): 0.000026 	P(spam|word): 0.884571
userid: 35 	P(word|spam): 0.000026 	P(spam|word): 0.274049
xerox: 35 	P(word|spam): 0.000026 	P(spam|word): 0.987119
updates: 35 	P(word|spam): 0.000026 	P(spam|word): 0.483084
responsive: 35 	P(word|spam): 0.000026 	P(spam|word): 0.974565
dir: 35 	P(word|spam): 0.000026 	P(spam|word): 0.864610
links4profit: 35 	P(word|spam): 0.000026 	P(spam|word): 0.900000
smtprs: 35 	P(word|spam): 0.000026 	P(spam|word): 0.818440
confidence: 34 	P(word|spam): 0.000025 	P(spam|word): 0.841707
economy: 34 	P(word|spam): 0.000025 	P(spam|word): 0.851333
discovered: 34 	P(word|spam): 0.000025 	P(spam|word): 0.788233
develop: 34 	P(word|spam): 0.000025 	P(spam|word): 0.823094
magazine: 34 	P(word|spam): 0.000025 	P(spam|word): 0.925413
creatives: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
ipowerweb: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
capsules: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
zephers: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
discovery: 34 	P(word|spam): 0.000025 	P(spam|word): 0.656217
traditional: 34 	P(word|spam): 0.000025 	P(spam|word): 0.851333
demon: 34 	P(word|spam): 0.000025 	P(spam|word): 0.771887
gaming: 34 	P(word|spam): 0.000025 	P(spam|word): 0.925413
heyyy: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
babies: 34 	P(word|spam): 0.000025 	P(spam|word): 0.832296
keeping: 34 	P(word|spam): 0.000025 	P(spam|word): 0.823094
strength: 34 	P(word|spam): 0.000025 	P(spam|word): 0.902964
entirely: 34 	P(word|spam): 0.000025 	P(spam|word): 0.796669
overnight: 34 	P(word|spam): 0.000025 	P(spam|word): 0.973837
march: 34 	P(word|spam): 0.000025 	P(spam|word): 0.861181
earning: 34 	P(word|spam): 0.000025 	P(spam|word): 0.986745
dbe8f4: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
theadmanager: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
handle: 34 	P(word|spam): 0.000025 	P(spam|word): 0.667993
v1: 34 	P(word|spam): 0.000025 	P(spam|word): 0.441949
3737ff: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
aig: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
installation: 34 	P(word|spam): 0.000025 	P(spam|word): 0.639310
hundred: 34 	P(word|spam): 0.000025 	P(spam|word): 0.814093
processed: 34 	P(word|spam): 0.000025 	P(spam|word): 0.662052
seek: 34 	P(word|spam): 0.000025 	P(spam|word): 0.871260
advice: 34 	P(word|spam): 0.000025 	P(spam|word): 0.628515
taking: 34 	P(word|spam): 0.000025 	P(spam|word): 0.603057
proper: 34 	P(word|spam): 0.000025 	P(spam|word): 0.881578
extractor: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
persons: 34 	P(word|spam): 0.000025 	P(spam|word): 0.892143
helping: 34 	P(word|spam): 0.000025 	P(spam|word): 0.841707
vehicles: 34 	P(word|spam): 0.000025 	P(spam|word): 0.949008
freehostchina: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
respect: 34 	P(word|spam): 0.000025 	P(spam|word): 0.692862
reduction: 34 	P(word|spam): 0.000025 	P(spam|word): 0.900000
hey11: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
congratulations: 33 	P(word|spam): 0.000025 	P(spam|word): 0.960135
bulletin: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
remedy: 33 	P(word|spam): 0.000025 	P(spam|word): 0.911676
produccion: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
maximum: 33 	P(word|spam): 0.000025 	P(spam|word): 0.923327
xxx: 33 	P(word|spam): 0.000025 	P(spam|word): 0.867874
figure: 33 	P(word|spam): 0.000025 	P(spam|word): 0.699769
competition: 33 	P(word|spam): 0.000025 	P(spam|word): 0.774809
sup: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
parties: 33 	P(word|spam): 0.000025 	P(spam|word): 0.791790
categories: 33 	P(word|spam): 0.000025 	P(spam|word): 0.960135
3dtext: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
corporations: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900316
audience: 33 	P(word|spam): 0.000025 	P(spam|word): 0.911676
visitors: 33 	P(word|spam): 0.000025 	P(spam|word): 0.973065
om: 33 	P(word|spam): 0.000025 	P(spam|word): 0.986349
ri: 33 	P(word|spam): 0.000025 	P(spam|word): 0.986349
sm: 33 	P(word|spam): 0.000025 	P(spam|word): 0.742941
3000: 33 	P(word|spam): 0.000025 	P(spam|word): 0.973065
tx: 33 	P(word|spam): 0.000025 	P(spam|word): 0.727971
mysiteinc: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
mx06: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
ze: 33 	P(word|spam): 0.000025 	P(spam|word): 0.986349
affil: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
political: 33 	P(word|spam): 0.000025 	P(spam|word): 0.699769
3d20: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
gets: 33 	P(word|spam): 0.000025 	P(spam|word): 0.477700
obtain: 33 	P(word|spam): 0.000025 	P(spam|word): 0.960135
consulting: 33 	P(word|spam): 0.000025 	P(spam|word): 0.911676
repair: 33 	P(word|spam): 0.000025 	P(spam|word): 0.878425
helveti: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
break: 33 	P(word|spam): 0.000025 	P(spam|word): 0.559008
william: 33 	P(word|spam): 0.000025 	P(spam|word): 0.680012
premiums: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
tracy: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
running: 33 	P(word|spam): 0.000025 	P(spam|word): 0.285302
chicago: 33 	P(word|spam): 0.000025 	P(spam|word): 0.837689
cutting: 33 	P(word|spam): 0.000025 	P(spam|word): 0.878425
brother: 33 	P(word|spam): 0.000025 	P(spam|word): 0.986349
rapid: 33 	P(word|spam): 0.000025 	P(spam|word): 0.960135
diploma: 33 	P(word|spam): 0.000025 	P(spam|word): 0.900000
117: 33 	P(word|spam): 0.000025 	P(spam|word): 0.947544
fit: 32 	P(word|spam): 0.000024 	P(spam|word): 0.795604
land: 32 	P(word|spam): 0.000024 	P(spam|word): 0.693265
8azp: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
investing: 32 	P(word|spam): 0.000024 	P(spam|word): 0.958940
close: 32 	P(word|spam): 0.000024 	P(spam|word): 0.569331
michael: 32 	P(word|spam): 0.000024 	P(spam|word): 0.496684
imgs: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
2fnewees: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
august: 32 	P(word|spam): 0.000024 	P(spam|word): 0.277962
20307: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
expensive: 32 	P(word|spam): 0.000024 	P(spam|word): 0.804742
stores: 32 	P(word|spam): 0.000024 	P(spam|word): 0.804742
000033: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
skeptical: 32 	P(word|spam): 0.000024 	P(spam|word): 0.958940
confirmation: 32 	P(word|spam): 0.000024 	P(spam|word): 0.843495
spacerun: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
iceypink: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
satisfaction: 32 	P(word|spam): 0.000024 	P(spam|word): 0.972247
pick: 32 	P(word|spam): 0.000024 	P(spam|word): 0.473202
bu: 32 	P(word|spam): 0.000024 	P(spam|word): 0.972247
ebargains: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
cz: 32 	P(word|spam): 0.000024 	P(spam|word): 0.985928
fedex: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
emwac: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
3d15: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
pixel: 32 	P(word|spam): 0.000024 	P(spam|word): 0.985928
addition: 32 	P(word|spam): 0.000024 	P(spam|word): 0.686473
isn: 32 	P(word|spam): 0.000024 	P(spam|word): 0.340012
bottomline: 32 	P(word|spam): 0.000024 	P(spam|word): 0.972247
finance: 32 	P(word|spam): 0.000024 	P(spam|word): 0.972247
cancel: 32 	P(word|spam): 0.000024 	P(spam|word): 0.958940
marshallese: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
virtual: 32 	P(word|spam): 0.000024 	P(spam|word): 0.686473
ma: 32 	P(word|spam): 0.000024 	P(spam|word): 0.673279
pr: 32 	P(word|spam): 0.000024 	P(spam|word): 0.642413
competitive: 32 	P(word|spam): 0.000024 	P(spam|word): 0.945993
enctype: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
brain: 32 	P(word|spam): 0.000024 	P(spam|word): 0.500230
truly: 32 	P(word|spam): 0.000024 	P(spam|word): 0.843495
instructed: 32 	P(word|spam): 0.000024 	P(spam|word): 0.945993
prompt: 32 	P(word|spam): 0.000024 	P(spam|word): 0.843495
jody: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
3dwoong: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
asian: 32 	P(word|spam): 0.000024 	P(spam|word): 0.958940
mean: 32 	P(word|spam): 0.000024 	P(spam|word): 0.443265
246: 32 	P(word|spam): 0.000024 	P(spam|word): 0.761037
189: 32 	P(word|spam): 0.000024 	P(spam|word): 0.864306
308: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
detailed: 32 	P(word|spam): 0.000024 	P(spam|word): 0.843495
netnumina: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
28510: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
smaller: 32 	P(word|spam): 0.000024 	P(spam|word): 0.786671
siz: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
00ff00: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
stress: 32 	P(word|spam): 0.000024 	P(spam|word): 0.985928
consider: 32 	P(word|spam): 0.000024 	P(spam|word): 0.693265
23435: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
header: 32 	P(word|spam): 0.000024 	P(spam|word): 0.588458
purchasing: 32 	P(word|spam): 0.000024 	P(spam|word): 0.897521
lexmark: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
manual: 32 	P(word|spam): 0.000024 	P(spam|word): 0.603669
across: 32 	P(word|spam): 0.000024 	P(spam|word): 0.593442
doctor: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
mx14: 32 	P(word|spam): 0.000024 	P(spam|word): 0.900000
contacted: 32 	P(word|spam): 0.000024 	P(spam|word): 0.886169
far: 32 	P(word|spam): 0.000024 	P(spam|word): 0.429673
newsgroups: 32 	P(word|spam): 0.000024 	P(spam|word): 0.804742
boost: 31 	P(word|spam): 0.000023 	P(spam|word): 0.957672
west: 31 	P(word|spam): 0.000023 	P(spam|word): 0.730821
pass: 31 	P(word|spam): 0.000023 	P(spam|word): 0.653429
tvpredictions: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
expense: 31 	P(word|spam): 0.000023 	P(spam|word): 0.871589
sqlcare: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
assured: 31 	P(word|spam): 0.000023 	P(spam|word): 0.971377
176: 31 	P(word|spam): 0.000023 	P(spam|word): 0.755215
leading: 31 	P(word|spam): 0.000023 	P(spam|word): 0.478414
extract: 31 	P(word|spam): 0.000023 	P(spam|word): 0.882927
herbs: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
ff9900: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
cv: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
smoke: 31 	P(word|spam): 0.000023 	P(spam|word): 0.957672
husband: 31 	P(word|spam): 0.000023 	P(spam|word): 0.957672
ii: 31 	P(word|spam): 0.000023 	P(spam|word): 0.693486
ship: 31 	P(word|spam): 0.000023 	P(spam|word): 0.860539
strategies: 31 	P(word|spam): 0.000023 	P(spam|word): 0.894563
effectively: 31 	P(word|spam): 0.000023 	P(spam|word): 0.894563
netmore: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
capacity: 31 	P(word|spam): 0.000023 	P(spam|word): 0.871589
750: 31 	P(word|spam): 0.000023 	P(spam|word): 0.971377
son: 31 	P(word|spam): 0.000023 	P(spam|word): 0.790393
156: 31 	P(word|spam): 0.000023 	P(spam|word): 0.612176
war: 31 	P(word|spam): 0.000023 	P(spam|word): 0.585760
nosend: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
demo: 31 	P(word|spam): 0.000023 	P(spam|word): 0.944348
addr: 31 	P(word|spam): 0.000023 	P(spam|word): 0.906511
amateurs: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
pattern: 31 	P(word|spam): 0.000023 	P(spam|word): 0.570978
revenue: 31 	P(word|spam): 0.000023 	P(spam|word): 0.957672
gives: 31 	P(word|spam): 0.000023 	P(spam|word): 0.666258
officials: 31 	P(word|spam): 0.000023 	P(spam|word): 0.894563
7b: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
499: 31 	P(word|spam): 0.000023 	P(spam|word): 0.985481
club: 31 	P(word|spam): 0.000023 	P(spam|word): 0.894563
winner: 31 	P(word|spam): 0.000023 	P(spam|word): 0.918782
employees: 31 	P(word|spam): 0.000023 	P(spam|word): 0.918782
specials: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
determine: 31 	P(word|spam): 0.000023 	P(spam|word): 0.882927
symbol: 31 	P(word|spam): 0.000023 	P(spam|word): 0.944348
juno: 31 	P(word|spam): 0.000023 	P(spam|word): 0.900000
professionally: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
corporate: 30 	P(word|spam): 0.000022 	P(spam|word): 0.639676
taxes: 30 	P(word|spam): 0.000022 	P(spam|word): 0.970452
netvigator: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
ibm: 30 	P(word|spam): 0.000022 	P(spam|word): 0.693723
tomorrow: 30 	P(word|spam): 0.000022 	P(spam|word): 0.903695
42426f: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
3dpost: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
interesting: 30 	P(word|spam): 0.000022 	P(spam|word): 0.480559
threads: 30 	P(word|spam): 0.000022 	P(spam|word): 0.639676
insiq: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
999999: 30 	P(word|spam): 0.000022 	P(spam|word): 0.985004
wrinkle: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
citizens: 30 	P(word|spam): 0.000022 	P(spam|word): 0.903695
specifically: 30 	P(word|spam): 0.000022 	P(spam|word): 0.693723
20148: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
db: 30 	P(word|spam): 0.000022 	P(spam|word): 0.784909
evie: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
indeed: 30 	P(word|spam): 0.000022 	P(spam|word): 0.665604
noshade: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
prepare: 30 	P(word|spam): 0.000022 	P(spam|word): 0.929264
towards: 30 	P(word|spam): 0.000022 	P(spam|word): 0.824309
downline: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
ha: 30 	P(word|spam): 0.000022 	P(spam|word): 0.903695
toners2go: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
citizen: 30 	P(word|spam): 0.000022 	P(spam|word): 0.834785
20020510: 30 	P(word|spam): 0.000022 	P(spam|word): 0.985004
nd: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
require: 30 	P(word|spam): 0.000022 	P(spam|word): 0.604363
333300: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
announcement: 30 	P(word|spam): 0.000022 	P(spam|word): 0.834785
provider: 30 	P(word|spam): 0.000022 	P(spam|word): 0.804127
concentric: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
22left: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
losing: 30 	P(word|spam): 0.000022 	P(spam|word): 0.856557
sol: 30 	P(word|spam): 0.000022 	P(spam|word): 0.956323
responded: 30 	P(word|spam): 0.000022 	P(spam|word): 0.956323
compuserve: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
ff0080: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
107: 30 	P(word|spam): 0.000022 	P(spam|word): 0.784909
verticalresponse: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
bizland: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
released: 30 	P(word|spam): 0.000022 	P(spam|word): 0.498806
qksrv: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
publication: 30 	P(word|spam): 0.000022 	P(spam|word): 0.929264
chances: 30 	P(word|spam): 0.000022 	P(spam|word): 0.942599
acquired: 30 	P(word|spam): 0.000022 	P(spam|word): 0.856557
990033: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
jobs: 30 	P(word|spam): 0.000022 	P(spam|word): 0.487695
personal8: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
ct2: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
opinion: 30 	P(word|spam): 0.000022 	P(spam|word): 0.679373
5c4033: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
looksmart: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
bookman: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
replenishables: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
720: 30 	P(word|spam): 0.000022 	P(spam|word): 0.970452
piece: 30 	P(word|spam): 0.000022 	P(spam|word): 0.470238
maintain: 30 	P(word|spam): 0.000022 	P(spam|word): 0.824309
fsi52: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
everyday: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
admanmail: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
1dx: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
greatlead6: 30 	P(word|spam): 0.000022 	P(spam|word): 0.900000
tip: 30 	P(word|spam): 0.000022 	P(spam|word): 0.834785
ones: 30 	P(word|spam): 0.000022 	P(spam|word): 0.553441
factors: 30 	P(word|spam): 0.000022 	P(spam|word): 0.891430
agency: 30 	P(word|spam): 0.000022 	P(spam|word): 0.891430
sensitivity: 29 	P(word|spam): 0.000022 	P(spam|word): 0.984495
lots: 29 	P(word|spam): 0.000022 	P(spam|word): 0.531365
irs: 29 	P(word|spam): 0.000022 	P(spam|word): 0.969464
hong: 29 	P(word|spam): 0.000022 	P(spam|word): 0.940737
approximately: 29 	P(word|spam): 0.000022 	P(spam|word): 0.927003
evening: 29 	P(word|spam): 0.000022 	P(spam|word): 0.927003
ffff80: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
friendly: 29 	P(word|spam): 0.000022 	P(spam|word): 0.734092
news2: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
universal: 29 	P(word|spam): 0.000022 	P(spam|word): 0.798732
afternoon: 29 	P(word|spam): 0.000022 	P(spam|word): 0.863938
sound: 29 	P(word|spam): 0.000022 	P(spam|word): 0.638176
jobgalleries: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
consolidate: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
conference: 29 	P(word|spam): 0.000022 	P(spam|word): 0.619497
deleted: 29 	P(word|spam): 0.000022 	P(spam|word): 0.769686
goes: 29 	P(word|spam): 0.000022 	P(spam|word): 0.522618
degree: 29 	P(word|spam): 0.000022 	P(spam|word): 0.779130
f64: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
257: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
kong: 29 	P(word|spam): 0.000022 	P(spam|word): 0.940737
location: 29 	P(word|spam): 0.000022 	P(spam|word): 0.679130
residents: 29 	P(word|spam): 0.000022 	P(spam|word): 0.984495
david: 29 	P(word|spam): 0.000022 	P(spam|word): 0.376840
cr: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
sdram: 29 	P(word|spam): 0.000022 	P(spam|word): 0.984495
reset: 29 	P(word|spam): 0.000022 	P(spam|word): 0.940737
impossible: 29 	P(word|spam): 0.000022 	P(spam|word): 0.742678
bannerco: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
developing: 29 	P(word|spam): 0.000022 	P(spam|word): 0.863938
7a6a: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
moved: 29 	P(word|spam): 0.000022 	P(spam|word): 0.686473
robert: 29 	P(word|spam): 0.000022 	P(spam|word): 0.416378
anymore: 29 	P(word|spam): 0.000022 	P(spam|word): 0.638176
triposd: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
assume: 29 	P(word|spam): 0.000022 	P(spam|word): 0.619497
hewlett: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900703
pleasure: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900703
seeking: 29 	P(word|spam): 0.000022 	P(spam|word): 0.888106
panel: 29 	P(word|spam): 0.000022 	P(spam|word): 0.701644
core: 29 	P(word|spam): 0.000022 	P(spam|word): 0.625601
ou: 29 	P(word|spam): 0.000022 	P(spam|word): 0.969464
feature: 29 	P(word|spam): 0.000022 	P(spam|word): 0.559456
ro: 29 	P(word|spam): 0.000022 	P(spam|word): 0.927003
channels: 29 	P(word|spam): 0.000022 	P(spam|word): 0.913664
models: 29 	P(word|spam): 0.000022 	P(spam|word): 0.841051
su: 29 	P(word|spam): 0.000022 	P(spam|word): 0.875855
law4: 29 	P(word|spam): 0.000022 	P(spam|word): 0.940737
suggestions: 29 	P(word|spam): 0.000022 	P(spam|word): 0.644655
cashpromotions: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
877: 29 	P(word|spam): 0.000022 	P(spam|word): 0.927003
palm: 29 	P(word|spam): 0.000022 	P(spam|word): 0.863938
ink: 29 	P(word|spam): 0.000022 	P(spam|word): 0.984495
inb: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
2ftable: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
botanicals: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
recipient: 29 	P(word|spam): 0.000022 	P(spam|word): 0.658017
3ctable: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
rating: 29 	P(word|spam): 0.000022 	P(spam|word): 0.607640
bsp: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
activities: 29 	P(word|spam): 0.000022 	P(spam|word): 0.852341
3d24: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
mailed: 29 	P(word|spam): 0.000022 	P(spam|word): 0.954884
uid: 29 	P(word|spam): 0.000022 	P(spam|word): 0.326464
interface: 29 	P(word|spam): 0.000022 	P(spam|word): 0.336856
copymydvd: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
monday: 29 	P(word|spam): 0.000022 	P(spam|word): 0.540410
neteze: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
netnuevo: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
2966: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
freeerisa: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
xl04: 29 	P(word|spam): 0.000022 	P(spam|word): 0.900000
senior: 29 	P(word|spam): 0.000022 	P(spam|word): 0.852341
various: 29 	P(word|spam): 0.000022 	P(spam|word): 0.490331
proof: 29 	P(word|spam): 0.000022 	P(spam|word): 0.888106
york: 29 	P(word|spam): 0.000022 	P(spam|word): 0.701644
roll: 28 	P(word|spam): 0.000021 	P(spam|word): 0.938750
exact: 28 	P(word|spam): 0.000021 	P(spam|word): 0.694246
fix: 28 	P(word|spam): 0.000021 	P(spam|word): 0.440083
08296b: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
supplement: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
regardless: 28 	P(word|spam): 0.000021 	P(spam|word): 0.924593
fw: 28 	P(word|spam): 0.000021 	P(spam|word): 0.576695
3d30: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
votre: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
likely: 28 	P(word|spam): 0.000021 	P(spam|word): 0.463367
fraction: 28 	P(word|spam): 0.000021 	P(spam|word): 0.897521
acquire: 28 	P(word|spam): 0.000021 	P(spam|word): 0.968408
experts: 28 	P(word|spam): 0.000021 	P(spam|word): 0.718661
laserwriter: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
mother: 28 	P(word|spam): 0.000021 	P(spam|word): 0.773032
liquid: 28 	P(word|spam): 0.000021 	P(spam|word): 0.938750
creditors: 28 	P(word|spam): 0.000021 	P(spam|word): 0.968408
csibe: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
exceed: 28 	P(word|spam): 0.000021 	P(spam|word): 0.983950
chat: 28 	P(word|spam): 0.000021 	P(spam|word): 0.763406
netmagic: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
ihp: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
topsites: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
epl: 28 	P(word|spam): 0.000021 	P(spam|word): 0.582172
appears: 28 	P(word|spam): 0.000021 	P(spam|word): 0.545885
ef: 28 	P(word|spam): 0.000021 	P(spam|word): 0.983950
ex: 28 	P(word|spam): 0.000021 	P(spam|word): 0.710334
comprised: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
attained: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
stormpost: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
6pt: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
debts: 28 	P(word|spam): 0.000021 	P(spam|word): 0.924593
behind: 28 	P(word|spam): 0.000021 	P(spam|word): 0.650077
848383: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
mailcomesandgoes: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
cra: 28 	P(word|spam): 0.000021 	P(spam|word): 0.327305
potent: 28 	P(word|spam): 0.000021 	P(spam|word): 0.983950
delay: 28 	P(word|spam): 0.000021 	P(spam|word): 0.814093
regal: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
6fm: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
air: 28 	P(word|spam): 0.000021 	P(spam|word): 0.754017
5959ff: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
intersearch: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
stopped: 28 	P(word|spam): 0.000021 	P(spam|word): 0.702198
conditions: 28 	P(word|spam): 0.000021 	P(spam|word): 0.803424
generic: 28 	P(word|spam): 0.000021 	P(spam|word): 0.924593
9900027056: 28 	P(word|spam): 0.000021 	P(spam|word): 0.900000
journal: 28 	P(word|spam): 0.000021 	P(spam|word): 0.897521
249: 28 	P(word|spam): 0.000021 	P(spam|word): 0.836304
estimates: 28 	P(word|spam): 0.000021 	P(spam|word): 0.871989
