977808
com: 17127 	P(word|ham): 0.017516 	P(ham|word): 0.748740
camram: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
swap: 19 	P(word|ham): 0.000019 	P(ham|word): 0.479682
dinter: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
capable: 19 	P(word|ham): 0.000019 	P(ham|word): 0.479682
foreign: 19 	P(word|ham): 0.000019 	P(ham|word): 0.936042
windmill: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
honor: 19 	P(word|ham): 0.000019 	P(ham|word): 0.717133
networkcommand: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
cosmologists: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
saturday: 19 	P(word|ham): 0.000019 	P(ham|word): 0.686473
gave: 19 	P(word|ham): 0.000019 	P(ham|word): 0.662052
deleted: 19 	P(word|ham): 0.000019 	P(ham|word): 0.769686
period: 19 	P(word|ham): 0.000019 	P(ham|word): 0.841293
articles: 19 	P(word|ham): 0.000019 	P(ham|word): 0.749761
rfc: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
necessarily: 19 	P(word|ham): 0.000019 	P(ham|word): 0.187306
fail: 19 	P(word|ham): 0.000019 	P(ham|word): 0.580335
score: 19 	P(word|ham): 0.000019 	P(ham|word): 0.103330
gemini: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
marvin: 19 	P(word|ham): 0.000019 	P(ham|word): 0.256899
expression: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
parties: 19 	P(word|ham): 0.000019 	P(ham|word): 0.791790
sea: 19 	P(word|ham): 0.000019 	P(ham|word): 0.559008
led: 19 	P(word|ham): 0.000019 	P(ham|word): 0.365558
scyld: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
transport: 19 	P(word|ham): 0.000019 	P(ham|word): 0.408783
dl: 19 	P(word|ham): 0.000019 	P(ham|word): 0.849548
dimebox: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
expanding: 19 	P(word|ham): 0.000019 	P(ham|word): 0.697405
entirely: 19 	P(word|ham): 0.000019 	P(ham|word): 0.796669
builds: 19 	P(word|ham): 0.000019 	P(ham|word): 0.315514
mailenable: 19 	P(word|ham): 0.000019 	P(ham|word): 0.103330
reboot: 19 	P(word|ham): 0.000019 	P(ham|word): 0.315514
providing: 19 	P(word|ham): 0.000019 	P(ham|word): 0.863724
limit: 19 	P(word|ham): 0.000019 	P(ham|word): 0.825320
affect: 19 	P(word|ham): 0.000019 	P(ham|word): 0.559008
logging: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
fields: 19 	P(word|ham): 0.000019 	P(ham|word): 0.599694
draig: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
dec: 19 	P(word|ham): 0.000019 	P(ham|word): 0.934099
copying: 19 	P(word|ham): 0.000019 	P(ham|word): 0.599694
announced: 19 	P(word|ham): 0.000019 	P(ham|word): 0.648358
passing: 19 	P(word|ham): 0.000019 	P(ham|word): 0.187306
countries: 19 	P(word|ham): 0.000019 	P(ham|word): 0.875459
apart: 19 	P(word|ham): 0.000019 	P(ham|word): 0.446493
regarding: 19 	P(word|ham): 0.000019 	P(ham|word): 0.914655
detect: 19 	P(word|ham): 0.000019 	P(ham|word): 0.256899
pp: 19 	P(word|ham): 0.000019 	P(ham|word): 0.446493
x89: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
i586: 19 	P(word|ham): 0.000019 	P(ham|word): 0.103330
infectious: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
growth: 19 	P(word|ham): 0.000019 	P(ham|word): 0.931498
sores: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
constantly: 19 	P(word|ham): 0.000019 	P(ham|word): 0.187306
150: 19 	P(word|ham): 0.000019 	P(ham|word): 0.949157
loads: 19 	P(word|ham): 0.000019 	P(ham|word): 0.256899
232: 19 	P(word|ham): 0.000019 	P(ham|word): 0.810023
fundamental: 19 	P(word|ham): 0.000019 	P(ham|word): 0.446493
elsewhere: 19 	P(word|ham): 0.000019 	P(ham|word): 0.599694
dbs: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
negative: 19 	P(word|ham): 0.000019 	P(ham|word): 0.835268
640a000a: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
investors: 19 	P(word|ham): 0.000019 	P(ham|word): 0.875459
equivalent: 19 	P(word|ham): 0.000019 	P(ham|word): 0.509115
recommendations: 19 	P(word|ham): 0.000019 	P(ham|word): 0.707601
sawfish: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
w3c: 19 	P(word|ham): 0.000019 	P(ham|word): 0.917101
243: 19 	P(word|ham): 0.000019 	P(ham|word): 0.888286
242: 19 	P(word|ham): 0.000019 	P(ham|word): 0.915486
shift: 19 	P(word|ham): 0.000019 	P(ham|word): 0.103330
1029882468: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
picked: 19 	P(word|ham): 0.000019 	P(ham|word): 0.256899
controls: 19 	P(word|ham): 0.000019 	P(ham|word): 0.535397
gibson: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
accessible: 19 	P(word|ham): 0.000019 	P(ham|word): 0.535397
sdubtalex01: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
inflation: 19 	P(word|ham): 0.000019 	P(ham|word): 0.599694
smaller: 19 	P(word|ham): 0.000019 	P(ham|word): 0.786671
smith: 19 	P(word|ham): 0.000019 	P(ham|word): 0.599694
whump: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
unit: 19 	P(word|ham): 0.000019 	P(ham|word): 0.559008
funeral: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
libs: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
talios: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
passphrase: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
age: 19 	P(word|ham): 0.000019 	P(ham|word): 0.943898
odd: 19 	P(word|ham): 0.000019 	P(ham|word): 0.187306
animals: 19 	P(word|ham): 0.000019 	P(ham|word): 0.408783
jalapeno: 19 	P(word|ham): 0.000019 	P(ham|word): 0.846894
nt7: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
screening: 19 	P(word|ham): 0.000019 	P(ham|word): 0.509115
holding: 19 	P(word|ham): 0.000019 	P(ham|word): 0.559008
3116: 19 	P(word|ham): 0.000019 	P(ham|word): 0.315514
quantum: 19 	P(word|ham): 0.000019 	P(ham|word): 0.365558
beyond: 19 	P(word|ham): 0.000019 	P(ham|word): 0.479682
registered: 19 	P(word|ham): 0.000019 	P(ham|word): 0.856987
dumb: 19 	P(word|ham): 0.000019 	P(ham|word): 0.103330
utility: 19 	P(word|ham): 0.000019 	P(ham|word): 0.617346
tips: 19 	P(word|ham): 0.000019 	P(ham|word): 0.895042
167: 19 	P(word|ham): 0.000019 	P(ham|word): 0.861550
offering: 19 	P(word|ham): 0.000019 	P(ham|word): 0.922297
attached: 19 	P(word|ham): 0.000019 	P(ham|word): 0.479682
technique: 19 	P(word|ham): 0.000019 	P(ham|word): 0.674720
sharing: 19 	P(word|ham): 0.000019 	P(ham|word): 0.742330
idefense: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
aspect: 19 	P(word|ham): 0.000019 	P(ham|word): 0.617346
se7en: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
rates: 19 	P(word|ham): 0.000019 	P(ham|word): 0.975671
smrazor: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
hda2: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
fam: 19 	P(word|ham): 0.000019 	P(ham|word): 0.707601
shouldn: 19 	P(word|ham): 0.000019 	P(ham|word): 0.408783
whom: 19 	P(word|ham): 0.000019 	P(ham|word): 0.697405
moving: 19 	P(word|ham): 0.000019 	P(ham|word): 0.749761
notes: 19 	P(word|ham): 0.000019 	P(ham|word): 0.707601
potentially: 19 	P(word|ham): 0.000019 	P(ham|word): 0.617346
panix: 19 	P(word|ham): 0.000019 	P(ham|word): 0.100000
cache: 19 	P(word|ham): 0.000019 	P(ham|word): 0.734445
thousands: 19 	P(word|ham): 0.000019 	P(ham|word): 0.953515
gas: 19 	P(word|ham): 0.000019 	P(ham|word): 0.633507
fit: 18 	P(word|ham): 0.000018 	P(ham|word): 0.795604
meepzor: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
donoghue: 18 	P(word|ham): 0.000018 	P(ham|word): 0.108448
methods: 18 	P(word|ham): 0.000018 	P(ham|word): 0.898782
bios: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
patterns: 18 	P(word|ham): 0.000018 	P(ham|word): 0.267356
filesystem: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
1998: 18 	P(word|ham): 0.000018 	P(ham|word): 0.718661
dynamically: 18 	P(word|ham): 0.000018 	P(ham|word): 0.195676
bash: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
empty: 18 	P(word|ham): 0.000018 	P(ham|word): 0.686473
ordered: 18 	P(word|ham): 0.000018 	P(ham|word): 0.873952
cosmic: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
happening: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
20020530: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
misery: 18 	P(word|ham): 0.000018 	P(ham|word): 0.195676
planet: 18 	P(word|ham): 0.000018 	P(ham|word): 0.766588
implement: 18 	P(word|ham): 0.000018 	P(ham|word): 0.378186
sometime: 18 	P(word|ham): 0.000018 	P(ham|word): 0.327305
discussed: 18 	P(word|ham): 0.000018 	P(ham|word): 0.108448
sum: 18 	P(word|ham): 0.000018 	P(ham|word): 0.890709
demand: 18 	P(word|ham): 0.000018 	P(ham|word): 0.848380
degree: 18 	P(word|ham): 0.000018 	P(ham|word): 0.779130
arafat: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
financial: 18 	P(word|ham): 0.000018 	P(ham|word): 0.974876
wisdom: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
professor: 18 	P(word|ham): 0.000018 	P(ham|word): 0.108448
dollars: 18 	P(word|ham): 0.000018 	P(ham|word): 0.972617
contained: 18 	P(word|ham): 0.000018 	P(ham|word): 0.736684
udhay: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
operations: 18 	P(word|ham): 0.000018 	P(ham|word): 0.522618
ad: 18 	P(word|ham): 0.000018 	P(ham|word): 0.984524
synchronization: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
surely: 18 	P(word|ham): 0.000018 	P(ham|word): 0.378186
orbit: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
db: 18 	P(word|ham): 0.000018 	P(ham|word): 0.784909
requests: 18 	P(word|ham): 0.000018 	P(ham|word): 0.845531
em: 18 	P(word|ham): 0.000018 	P(ham|word): 0.984726
mckee: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
mirroring: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
execution: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
ahead: 18 	P(word|ham): 0.000018 	P(ham|word): 0.493188
quote: 18 	P(word|ham): 0.000018 	P(ham|word): 0.951419
backups: 18 	P(word|ham): 0.000018 	P(ham|word): 0.108448
io: 18 	P(word|ham): 0.000018 	P(ham|word): 0.459891
bandwidth: 18 	P(word|ham): 0.000018 	P(ham|word): 0.522618
foundstone: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
scenarios: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
outgoing: 18 	P(word|ham): 0.000018 	P(ham|word): 0.927390
supply: 18 	P(word|ham): 0.000018 	P(ham|word): 0.894900
examples: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
bothered: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
flow: 18 	P(word|ham): 0.000018 	P(ham|word): 0.809792
enterprise: 18 	P(word|ham): 0.000018 	P(ham|word): 0.522618
ict: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
upgrades: 18 	P(word|ham): 0.000018 	P(ham|word): 0.697991
yesterday: 18 	P(word|ham): 0.000018 	P(ham|word): 0.108448
isreal: 18 	P(word|ham): 0.000018 	P(ham|word): 0.327305
son: 18 	P(word|ham): 0.000018 	P(ham|word): 0.790393
tv: 18 	P(word|ham): 0.000018 	P(ham|word): 0.953872
sysctl: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
redpie: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
truth: 18 	P(word|ham): 0.000018 	P(ham|word): 0.856329
aware: 18 	P(word|ham): 0.000018 	P(ham|word): 0.674041
verify: 18 	P(word|ham): 0.000018 	P(ham|word): 0.972433
trna: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
stevenx: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
modify: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
duncan: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
socialist: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
sslv3: 18 	P(word|ham): 0.000018 	P(ham|word): 0.967914
processes: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
grab: 18 	P(word|ham): 0.000018 	P(ham|word): 0.493188
compatible: 18 	P(word|ham): 0.000018 	P(ham|word): 0.736684
kragen: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
107: 18 	P(word|ham): 0.000018 	P(ham|word): 0.784909
managed: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
override: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
objects: 18 	P(word|ham): 0.000018 	P(ham|word): 0.108448
mice: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
staff: 18 	P(word|ham): 0.000018 	P(ham|word): 0.818204
onto: 18 	P(word|ham): 0.000018 	P(ham|word): 0.697991
mother: 18 	P(word|ham): 0.000018 	P(ham|word): 0.773032
synchronize: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
spurious: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
sig: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
angle: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
helsinki: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
feedback: 18 	P(word|ham): 0.000018 	P(ham|word): 0.759767
gargle: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
braindust: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
bedford: 18 	P(word|ham): 0.000018 	P(ham|word): 0.327305
vulnerabilities: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
metacity: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
compression: 18 	P(word|ham): 0.000018 	P(ham|word): 0.108448
2400: 18 	P(word|ham): 0.000018 	P(ham|word): 0.766588
lig: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
alpha: 18 	P(word|ham): 0.000018 	P(ham|word): 0.548817
disclosure: 18 	P(word|ham): 0.000018 	P(ham|word): 0.773032
contain: 18 	P(word|ham): 0.000018 	P(ham|word): 0.612601
olson: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
active: 18 	P(word|ham): 0.000018 	P(ham|word): 0.915440
nntp: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
strlen: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
alumnus: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
covered: 18 	P(word|ham): 0.000018 	P(ham|word): 0.572291
industrial: 18 	P(word|ham): 0.000018 	P(ham|word): 0.572291
axiom: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
4133: 18 	P(word|ham): 0.000018 	P(ham|word): 0.759767
gameshrine: 18 	P(word|ham): 0.000018 	P(ham|word): 0.100000
27i: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
linehan: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
downloading: 17 	P(word|ham): 0.000017 	P(ham|word): 0.278700
saving: 17 	P(word|ham): 0.000017 	P(ham|word): 0.822589
bootable: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
prior: 17 	P(word|ham): 0.000017 	P(ham|word): 0.626075
organisations: 17 	P(word|ham): 0.000017 	P(ham|word): 0.278700
educational: 17 	P(word|ham): 0.000017 	P(ham|word): 0.658927
interests: 17 	P(word|ham): 0.000017 	P(ham|word): 0.818440
safe: 17 	P(word|ham): 0.000017 	P(ham|word): 0.935707
actively: 17 	P(word|ham): 0.000017 	P(ham|word): 0.474117
heavy: 17 	P(word|ham): 0.000017 	P(ham|word): 0.720350
station: 17 	P(word|ham): 0.000017 	P(ham|word): 0.278700
hundred: 17 	P(word|ham): 0.000017 	P(ham|word): 0.814093
manage: 17 	P(word|ham): 0.000017 	P(ham|word): 0.850007
attachments: 17 	P(word|ham): 0.000017 	P(ham|word): 0.204828
afaik: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
puts: 17 	P(word|ham): 0.000017 	P(ham|word): 0.586220
somehow: 17 	P(word|ham): 0.000017 	P(ham|word): 0.626075
dneary: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
maps: 17 	P(word|ham): 0.000017 	P(ham|word): 0.204828
evaluation: 17 	P(word|ham): 0.000017 	P(ham|word): 0.507476
backed: 17 	P(word|ham): 0.000017 	P(ham|word): 0.474117
expensive: 17 	P(word|ham): 0.000017 	P(ham|word): 0.804742
task: 17 	P(word|ham): 0.000017 	P(ham|word): 0.720350
stores: 17 	P(word|ham): 0.000017 	P(ham|word): 0.804742
nwcgroup: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
0200a8c0: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
situations: 17 	P(word|ham): 0.000017 	P(ham|word): 0.204828
breaks: 17 	P(word|ham): 0.000017 	P(ham|word): 0.114100
ppc: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
harlan: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
direction: 17 	P(word|ham): 0.000017 	P(ham|word): 0.340012
disclaimer: 17 	P(word|ham): 0.000017 	P(ham|word): 0.818440
chose: 17 	P(word|ham): 0.000017 	P(ham|word): 0.204828
rare: 17 	P(word|ham): 0.000017 	P(ham|word): 0.709901
174: 17 	P(word|ham): 0.000017 	P(ham|word): 0.909470
gbolcer: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
possibility: 17 	P(word|ham): 0.000017 	P(ham|word): 0.340012
thousand: 17 	P(word|ham): 0.000017 	P(ham|word): 0.833970
sed: 17 	P(word|ham): 0.000017 	P(ham|word): 0.507476
levels: 17 	P(word|ham): 0.000017 	P(ham|word): 0.782904
clearly: 17 	P(word|ham): 0.000017 	P(ham|word): 0.686473
brose: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
variety: 17 	P(word|ham): 0.000017 	P(ham|word): 0.837446
mpeg: 17 	P(word|ham): 0.000017 	P(ham|word): 0.474117
119ac86: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
sends: 17 	P(word|ham): 0.000017 	P(ham|word): 0.607156
physical: 17 	P(word|ham): 0.000017 	P(ham|word): 0.730072
linuxfr: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
ground: 17 	P(word|ham): 0.000017 	P(ham|word): 0.755566
document: 17 	P(word|ham): 0.000017 	P(ham|word): 0.959929
pounds: 17 	P(word|ham): 0.000017 	P(ham|word): 0.865587
disclaimers: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
porn: 17 	P(word|ham): 0.000017 	P(ham|word): 0.840779
battery: 17 	P(word|ham): 0.000017 	P(ham|word): 0.340012
creation: 17 	P(word|ham): 0.000017 	P(ham|word): 0.435911
sonic: 17 	P(word|ham): 0.000017 	P(ham|word): 0.278700
limxmmf303: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
classic: 17 	P(word|ham): 0.000017 	P(ham|word): 0.278700
died: 17 	P(word|ham): 0.000017 	P(ham|word): 0.770045
bang: 17 	P(word|ham): 0.000017 	P(ham|word): 0.114100
bolcer: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
patton: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
matters: 17 	P(word|ham): 0.000017 	P(ham|word): 0.626075
ls: 17 	P(word|ham): 0.000017 	P(ham|word): 0.391718
cwt: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
enjoy: 17 	P(word|ham): 0.000017 	P(ham|word): 0.881938
fashion: 17 	P(word|ham): 0.000017 	P(ham|word): 0.435911
palladium: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
complex: 17 	P(word|ham): 0.000017 	P(ham|word): 0.204828
opera: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
profit: 17 	P(word|ham): 0.000017 	P(ham|word): 0.911533
region: 17 	P(word|ham): 0.000017 	P(ham|word): 0.776659
dermot: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
jun: 17 	P(word|ham): 0.000017 	P(ham|word): 0.994685
settlement: 17 	P(word|ham): 0.000017 	P(ham|word): 0.658927
breaking: 17 	P(word|ham): 0.000017 	P(ham|word): 0.709901
dub: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
usage: 17 	P(word|ham): 0.000017 	P(ham|word): 0.870085
loading: 17 	P(word|ham): 0.000017 	P(ham|word): 0.658927
cross: 17 	P(word|ham): 0.000017 	P(ham|word): 0.435911
b554a8c0: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
munpack: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
155: 17 	P(word|ham): 0.000017 	P(ham|word): 0.903865
race: 17 	P(word|ham): 0.000017 	P(ham|word): 0.507476
resulting: 17 	P(word|ham): 0.000017 	P(ham|word): 0.507476
total: 17 	P(word|ham): 0.000017 	P(ham|word): 0.960339
jehan: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
increase: 17 	P(word|ham): 0.000017 	P(ham|word): 0.963847
precisely: 17 	P(word|ham): 0.000017 	P(ham|word): 0.340012
databases: 17 	P(word|ham): 0.000017 	P(ham|word): 0.860766
freedom: 17 	P(word|ham): 0.000017 	P(ham|word): 0.909470
credit: 17 	P(word|ham): 0.000017 	P(ham|word): 0.989419
murtagh: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
switching: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
matching: 17 	P(word|ham): 0.000017 	P(ham|word): 0.763026
sinderson: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
compilation: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
nris: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
assumption: 17 	P(word|ham): 0.000017 	P(ham|word): 0.204828
boys: 17 	P(word|ham): 0.000017 	P(ham|word): 0.507476
democracy: 17 	P(word|ham): 0.000017 	P(ham|word): 0.114100
biggest: 17 	P(word|ham): 0.000017 	P(ham|word): 0.607156
cpu: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
watch: 17 	P(word|ham): 0.000017 	P(ham|word): 0.925174
annoying: 17 	P(word|ham): 0.000017 	P(ham|word): 0.340012
sql: 17 	P(word|ham): 0.000017 	P(ham|word): 0.658927
apologies: 17 	P(word|ham): 0.000017 	P(ham|word): 0.747620
tablet: 17 	P(word|ham): 0.000017 	P(ham|word): 0.850007
capital: 17 	P(word|ham): 0.000017 	P(ham|word): 0.872223
abuse: 17 	P(word|ham): 0.000017 	P(ham|word): 0.905041
89: 17 	P(word|ham): 0.000017 	P(ham|word): 0.944842
unlike: 17 	P(word|ham): 0.000017 	P(ham|word): 0.673279
silcom: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
holm: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
md5: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
diff: 17 	P(word|ham): 0.000017 	P(ham|word): 0.204828
dhiggins: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
knew: 17 	P(word|ham): 0.000017 	P(ham|word): 0.730072
iptables: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
htv: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
september: 17 	P(word|ham): 0.000017 	P(ham|word): 0.730072
tries: 17 	P(word|ham): 0.000017 	P(ham|word): 0.391718
smtprs: 17 	P(word|ham): 0.000017 	P(ham|word): 0.818440
structure: 17 	P(word|ham): 0.000017 	P(ham|word): 0.340012
pt: 17 	P(word|ham): 0.000017 	P(ham|word): 0.833970
convenience: 17 	P(word|ham): 0.000017 	P(ham|word): 0.850007
japanese: 17 	P(word|ham): 0.000017 	P(ham|word): 0.114100
philodox: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
filename: 17 	P(word|ham): 0.000017 	P(ham|word): 0.562927
traderman: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
institute: 17 	P(word|ham): 0.000017 	P(ham|word): 0.278700
deafbox: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
dial: 17 	P(word|ham): 0.000017 	P(ham|word): 0.885422
movement: 17 	P(word|ham): 0.000017 	P(ham|word): 0.562927
rahettinga: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
practice: 17 	P(word|ham): 0.000017 	P(ham|word): 0.586220
ignored: 17 	P(word|ham): 0.000017 	P(ham|word): 0.730072
lne: 17 	P(word|ham): 0.000017 	P(ham|word): 0.830342
cities: 17 	P(word|ham): 0.000017 	P(ham|word): 0.340012
newsgroups: 17 	P(word|ham): 0.000017 	P(ham|word): 0.804742
z: 17 	P(word|ham): 0.000017 	P(ham|word): 0.924446
reilly: 17 	P(word|ham): 0.000017 	P(ham|word): 0.100000
lead: 17 	P(word|ham): 0.000017 	P(ham|word): 0.906188
originally: 16 	P(word|ham): 0.000016 	P(ham|word): 0.214879
sorted: 16 	P(word|ham): 0.000016 	P(ham|word): 0.621518
cafe: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
verified: 16 	P(word|ham): 0.000016 	P(ham|word): 0.672418
sc5: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
tested: 16 	P(word|ham): 0.000016 	P(ham|word): 0.758887
installer: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
definition: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
binding: 16 	P(word|ham): 0.000016 	P(ham|word): 0.214879
zixit: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
length: 16 	P(word|ham): 0.000016 	P(ham|word): 0.893020
uplevel: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
irsmsx103: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
domains: 16 	P(word|ham): 0.000016 	P(ham|word): 0.851796
develop: 16 	P(word|ham): 0.000016 	P(ham|word): 0.823094
psu: 16 	P(word|ham): 0.000016 	P(ham|word): 0.120372
stored: 16 	P(word|ham): 0.000016 	P(ham|word): 0.711250
pack: 16 	P(word|ham): 0.000016 	P(ham|word): 0.945183
zope: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
felicity: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
submitted: 16 	P(word|ham): 0.000016 	P(ham|word): 0.896063
universal: 16 	P(word|ham): 0.000016 	P(ham|word): 0.798732
modification: 16 	P(word|ham): 0.000016 	P(ham|word): 0.450872
forgot: 16 	P(word|ham): 0.000016 	P(ham|word): 0.406255
802: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
caolan: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
belphegore: 16 	P(word|ham): 0.000016 	P(ham|word): 0.100000
speaking: 16 	P(word|ham): 0.000016 	P(ham|word): 0.291049
